id,psu,country,wave,q1,wt,stratum,Q1001,Q1002,Q1003,Q1005,Q100,Q101,Q102,Q204A_1,Q204A_2,Q204_2,Q204_3,Q204_11,Q204_20,Q209B,Q501,Q501A,Q266,Q263,Q516A,Q512,Q515A2,Q511
4341,1,Libya,5,110001,0.646666671215072,1,23.0,1.0,6.0,6.0,1.0,3,5,2.0,4,4.0,3.0,4.0,3.0,1.0,2,2,1.0,2.0,99.0,8,3.0,99.0
1819,1,Libya,5,110001,0.646666671215072,1,23.0,2.0,5.0,5.0,2.0,3,2,2.0,3,2.0,3.0,2.0,2.0,1.0,2,2,1.0,1.0,3.0,0,3.0,10.0
1827,1,Libya,5,110001,0.646666671215072,1,31.0,2.0,6.0,1.0,2.0,3,4,2.0,3,3.0,4.0,2.0,2.0,2.0,2,1,2.0,1.0,3.0,10,1.0,0.0
2391,1,Libya,5,110001,1.9399999579504197,1,53.0,2.0,3.0,4.0,2.0,4,5,3.0,3,4.0,3.0,3.0,3.0,3.0,2,2,1.0,1.0,98.0,0,98.0,0.0
2412,1,Libya,5,110001,1.2933333424301399,1,45.0,1.0,3.0,2.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,1.0,98.0,0,3.0,0.0
1818,1,Libya,5,110001,0.646666671215072,1,35.0,2.0,6.0,4.0,1.0,3,1,3.0,3,4.0,2.0,2.0,3.0,3.0,2,2,1.0,1.0,3.0,0,3.0,0.0
3669,1,Libya,5,110001,0.646666671215072,1,27.0,1.0,4.0,6.0,2.0,3,2,3.0,3,2.0,3.0,3.0,3.0,3.0,2,2,1.0,2.0,3.0,10,2.0,0.0
3991,1,Libya,5,110001,0.646666671215072,1,21.0,2.0,4.0,6.0,2.0,2,1,1.0,4,3.0,3.0,2.0,4.0,2.0,2,2,1.0,1.0,3.0,0,1.0,5.0
2496,2,Libya,5,110001,1.2933333424301399,1,35.0,1.0,1.0,6.0,2.0,3,5,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,3.0,98.0,0,98.0,0.0
2499,2,Libya,5,110001,1.2933333424301399,1,50.0,2.0,3.0,4.0,2.0,4,5,4.0,3,4.0,3.0,3.0,3.0,3.0,2,2,1.0,1.0,3.0,0,98.0,0.0
3668,2,Libya,5,110001,0.646666671215072,1,30.0,2.0,6.0,6.0,1.0,4,2,3.0,4,3.0,4.0,2.0,2.0,3.0,2,2,2.0,1.0,3.0,10,3.0,0.0
1830,2,Libya,5,110001,0.646666671215072,1,46.0,1.0,4.0,2.0,1.0,3,98,3.0,3,3.0,3.0,2.0,3.0,2.0,2,2,2.0,3.0,98.0,7,98.0,5.0
2497,2,Libya,5,110001,0.646666671215072,1,27.0,2.0,4.0,4.0,2.0,3,5,3.0,3,4.0,4.0,4.0,4.0,3.0,2,2,2.0,3.0,3.0,0,98.0,2.0
2011,2,Libya,5,110001,1.2933333424301399,1,46.0,1.0,2.0,6.0,1.0,3,4,3.0,3,3.0,4.0,3.0,3.0,3.0,2,2,2.0,3.0,98.0,3,98.0,0.0
4668,2,Libya,5,110001,0.646666671215072,1,41.0,1.0,2.0,6.0,2.0,4,2,2.0,2,4.0,4.0,4.0,3.0,3.0,2,2,2.0,2.0,3.0,0,1.0,5.0
1964,3,Libya,5,110001,0.646666671215072,1,31.0,1.0,4.0,1.0,2.0,4,4,3.0,2,3.0,3.0,3.0,3.0,2.0,2,2,2.0,1.0,98.0,0,98.0,0.0
1965,3,Libya,5,110001,1.2933333424301399,1,46.0,2.0,5.0,4.0,2.0,3,98,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,3.0,3.0,0,98.0,4.0
1984,3,Libya,5,110001,0.646666671215072,1,47.0,1.0,6.0,1.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,2.0,3.0,0,4.0,0.0
1961,3,Libya,5,110001,0.646666671215072,1,46.0,1.0,2.0,6.0,2.0,3,5,3.0,3,3.0,2.0,4.0,4.0,2.0,2,2,1.0,3.0,98.0,5,98.0,5.0
1985,3,Libya,5,110001,1.2933333424301399,1,46.0,1.0,4.0,1.0,2.0,3,4,3.0,3,4.0,3.0,4.0,4.0,3.0,2,2,2.0,1.0,3.0,0,3.0,0.0
1963,3,Libya,5,110001,0.646666671215072,1,40.0,2.0,5.0,4.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2,1,1.0,1.0,99.0,0,3.0,0.0
2498,3,Libya,5,110001,0.646666671215072,1,20.0,2.0,4.0,4.0,2.0,3,3,2.0,2,2.0,2.0,2.0,4.0,2.0,2,2,1.0,2.0,3.0,4,3.0,6.0
3644,4,Libya,5,110001,0.646666671215072,1,48.0,2.0,6.0,1.0,1.0,3,1,2.0,3,3.0,3.0,2.0,3.0,2.0,2,2,1.0,3.0,2.0,7,1.0,1.0
4999,4,Libya,5,110001,0.646666671215072,1,45.0,1.0,6.0,1.0,2.0,4,2,2.0,3,3.0,3.0,4.0,4.0,3.0,2,2,1.0,2.0,3.0,0,3.0,2.0
4961,4,Libya,5,110001,1.2933333424301399,1,20.0,1.0,4.0,5.0,2.0,3,1,4.0,3,3.0,3.0,2.0,2.0,2.0,2,2,2.0,3.0,3.0,5,3.0,0.0
3643,4,Libya,5,110001,0.646666671215072,1,24.0,2.0,6.0,6.0,98.0,4,98,3.0,2,4.0,3.0,2.0,4.0,2.0,2,2,1.0,1.0,98.0,6,98.0,2.0
3838,4,Libya,5,110001,1.9399999579504197,1,45.0,2.0,3.0,4.0,2.0,3,5,2.0,3,4.0,3.0,3.0,2.0,2.0,2,2,1.0,1.0,2.0,0,2.0,0.0
4844,4,Libya,5,110001,0.646666671215072,1,30.0,1.0,5.0,2.0,2.0,2,98,4.0,3,2.0,4.0,4.0,2.0,2.0,2,2,1.0,1.0,3.0,10,4.0,0.0
4976,4,Libya,5,110001,0.646666671215072,1,27.0,2.0,4.0,6.0,1.0,2,5,4.0,4,2.0,4.0,2.0,2.0,4.0,2,2,2.0,4.0,3.0,2,4.0,1.0
4843,4,Libya,5,110001,1.9399999579504197,1,20.0,1.0,6.0,5.0,1.0,4,1,3.0,3,3.0,3.0,2.0,3.0,3.0,2,2,1.0,1.0,2.0,0,3.0,0.0
5000,4,Libya,5,110001,0.646666671215072,1,49.0,2.0,3.0,4.0,2.0,2,98,3.0,3,4.0,4.0,4.0,2.0,3.0,2,2,2.0,3.0,3.0,0,98.0,0.0
4836,4,Libya,5,110001,1.9399999579504197,1,26.0,1.0,5.0,6.0,2.0,3,1,3.0,4,4.0,4.0,2.0,2.0,3.0,2,2,2.0,3.0,3.0,0,3.0,0.0
4258,5,Libya,5,110001,0.646666671215072,1,50.0,1.0,5.0,2.0,1.0,2,1,4.0,4,2.0,3.0,2.0,3.0,4.0,2,2,2.0,3.0,3.0,3,4.0,3.0
4189,5,Libya,5,110001,1.9399999579504197,1,32.0,1.0,6.0,98.0,2.0,4,5,4.0,4,4.0,4.0,4.0,3.0,3.0,2,98,2.0,4.0,3.0,2,3.0,1.0
4188,5,Libya,5,110001,1.9399999579504197,1,38.0,1.0,6.0,1.0,1.0,2,2,3.0,3,3.0,3.0,2.0,2.0,1.0,1,2,1.0,1.0,3.0,9,3.0,2.0
4131,5,Libya,5,110001,3.87999991590083,1,46.0,2.0,6.0,1.0,2.0,4,98,4.0,4,4.0,4.0,4.0,4.0,2.0,2,2,1.0,2.0,2.0,0,98.0,0.0
4276,5,Libya,5,110001,2.58666668486029,1,29.0,1.0,6.0,1.0,2.0,3,3,3.0,3,4.0,4.0,4.0,2.0,4.0,2,2,1.0,1.0,2.0,4,4.0,0.0
4070,5,Libya,5,110001,0.646666671215072,1,26.0,2.0,6.0,4.0,2.0,3,3,2.0,2,1.0,3.0,2.0,3.0,2.0,2,2,2.0,2.0,3.0,5,1.0,3.0
4315,5,Libya,5,110001,0.646666671215072,1,27.0,2.0,6.0,1.0,1.0,2,5,4.0,4,3.0,4.0,2.0,3.0,4.0,2,2,1.0,3.0,3.0,5,4.0,0.0
4079,5,Libya,5,110001,0.646666671215072,1,25.0,2.0,6.0,5.0,2.0,4,2,2.0,2,3.0,1.0,3.0,3.0,2.0,2,2,1.0,1.0,1.0,9,2.0,4.0
2102,6,Libya,5,110001,0.646666671215072,1,33.0,2.0,4.0,6.0,2.0,4,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,1.0,98.0,0,99.0,0.0
717,6,Libya,5,110001,0.646666671215072,1,81.0,2.0,2.0,4.0,2.0,3,1,2.0,2,3.0,98.0,98.0,3.0,3.0,2,2,2.0,2.0,3.0,7,4.0,0.0
716,6,Libya,5,110001,0.646666671215072,1,55.0,2.0,5.0,4.0,2.0,3,1,2.0,3,3.0,2.0,2.0,2.0,2.0,2,2,2.0,2.0,3.0,6,3.0,0.0
2005,6,Libya,5,110001,0.646666671215072,1,25.0,2.0,6.0,5.0,2.0,4,5,4.0,4,3.0,3.0,3.0,4.0,2.0,2,2,1.0,1.0,3.0,0,4.0,0.0
2006,6,Libya,5,110001,1.2933333424301399,1,51.0,1.0,2.0,3.0,2.0,3,5,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,4.0,98.0,98,98.0,0.0
718,6,Libya,5,110001,0.646666671215072,1,49.0,1.0,6.0,1.0,2.0,2,5,3.0,2,4.0,3.0,2.0,2.0,3.0,2,2,2.0,1.0,3.0,0,3.0,0.0
4281,6,Libya,5,110001,1.2933333424301399,1,35.0,1.0,6.0,1.0,2.0,1,2,1.0,4,2.0,2.0,3.0,2.0,2.0,1,1,1.0,1.0,3.0,4,4.0,0.0
2262,7,Libya,5,110001,0.646666671215072,1,30.0,2.0,5.0,1.0,2.0,4,5,4.0,4,3.0,3.0,3.0,3.0,98.0,2,2,2.0,1.0,98.0,5,98.0,0.0
744,7,Libya,5,110001,1.2933333424301399,1,43.0,1.0,5.0,1.0,2.0,2,1,3.0,3,98.0,98.0,98.0,98.0,98.0,2,2,1.0,1.0,98.0,98,98.0,98.0
4849,7,Libya,5,110001,1.2933333424301399,1,37.0,1.0,6.0,1.0,2.0,2,4,3.0,4,2.0,2.0,2.0,3.0,3.0,2,2,2.0,1.0,3.0,6,1.0,5.0
3905,7,Libya,5,110001,0.646666671215072,1,23.0,2.0,6.0,5.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,3.0,1.0,0,1.0,0.0
4847,7,Libya,5,110001,0.646666671215072,1,36.0,1.0,6.0,1.0,1.0,3,2,1.0,3,3.0,3.0,2.0,3.0,2.0,2,2,1.0,1.0,3.0,4,4.0,4.0
5085,7,Libya,5,110001,1.2933333424301399,1,61.0,1.0,6.0,1.0,2.0,4,2,4.0,4,4.0,4.0,4.0,4.0,2.0,2,2,1.0,1.0,3.0,10,3.0,8.0
741,7,Libya,5,110001,3.2333331889909602,1,33.0,2.0,5.0,1.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,1.0,99.0,98,98.0,98.0
752,7,Libya,5,110001,1.2933333424301399,1,33.0,2.0,7.0,1.0,2.0,3,98,3.0,3,3.0,99.0,3.0,3.0,3.0,2,2,2.0,1.0,98.0,4,98.0,0.0
2191,8,Libya,5,110001,0.646666671215072,1,38.0,2.0,4.0,4.0,2.0,3,98,3.0,3,3.0,3.0,3.0,3.0,3.0,98,2,2.0,4.0,98.0,0,98.0,0.0
4024,8,Libya,5,110001,0.646666671215072,1,42.0,2.0,6.0,1.0,1.0,2,2,2.0,4,4.0,2.0,2.0,3.0,3.0,2,2,1.0,1.0,2.0,9,1.0,4.0
2189,8,Libya,5,110001,0.646666671215072,1,25.0,1.0,5.0,1.0,1.0,3,3,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,1.0,1.0,10,3.0,10.0
2192,8,Libya,5,110001,0.646666671215072,1,31.0,2.0,4.0,4.0,2.0,3,98,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,2.0,1.0,3.0,7,3.0,3.0
2190,8,Libya,5,110001,1.2933333424301399,1,41.0,1.0,5.0,6.0,2.0,3,4,3.0,3,3.0,4.0,2.0,3.0,3.0,2,2,1.0,2.0,3.0,3,3.0,3.0
4398,8,Libya,5,110001,0.646666671215072,1,24.0,2.0,6.0,5.0,2.0,4,1,4.0,4,2.0,4.0,4.0,4.0,1.0,2,2,2.0,1.0,98.0,0,3.0,0.0
1113,9,Libya,5,110001,0.646666671215072,1,24.0,2.0,4.0,5.0,2.0,3,3,3.0,3,1.0,1.0,1.0,1.0,3.0,2,1,1.0,3.0,1.0,4,4.0,5.0
1112,9,Libya,5,110001,1.2933333424301399,1,57.0,1.0,3.0,1.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,1.0,1.0,3.0,10,4.0,10.0
4696,9,Libya,5,110001,0.646666671215072,1,49.0,2.0,6.0,1.0,2.0,3,4,3.0,4,4.0,98.0,4.0,4.0,3.0,2,2,1.0,1.0,98.0,2,3.0,2.0
4401,9,Libya,5,110001,2.58666668486029,1,26.0,1.0,6.0,1.0,2.0,2,1,4.0,3,2.0,3.0,1.0,2.0,4.0,2,2,2.0,3.0,3.0,7,3.0,5.0
4205,9,Libya,5,110001,0.646666671215072,1,20.0,1.0,4.0,5.0,2.0,2,2,2.0,3,3.0,3.0,4.0,4.0,2.0,2,2,1.0,1.0,2.0,6,4.0,2.0
963,9,Libya,5,110001,0.646666671215072,1,37.0,2.0,6.0,1.0,98.0,98,98,4.0,4,3.0,98.0,4.0,3.0,98.0,2,2,2.0,98.0,3.0,8,3.0,10.0
962,9,Libya,5,110001,0.646666671215072,1,22.0,1.0,4.0,6.0,2.0,2,2,4.0,4,3.0,3.0,3.0,3.0,3.0,2,2,1.0,3.0,1.0,0,3.0,3.0
929,10,Libya,5,110001,0.646666671215072,1,33.0,1.0,4.0,2.0,2.0,2,5,3.0,3,3.0,4.0,3.0,3.0,3.0,2,2,2.0,1.0,98.0,0,3.0,0.0
2101,10,Libya,5,110001,0.646666671215072,1,43.0,2.0,4.0,4.0,2.0,4,4,3.0,3,1.0,3.0,4.0,3.0,2.0,2,2,2.0,1.0,98.0,0,98.0,0.0
2194,10,Libya,5,110001,1.2933333424301399,1,34.0,1.0,6.0,6.0,2.0,2,2,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,1.0,1.0,3,2.0,0.0
2197,10,Libya,5,110001,1.2933333424301399,1,28.0,2.0,5.0,1.0,2.0,4,98,4.0,4,3.0,3.0,3.0,4.0,3.0,2,2,2.0,1.0,3.0,0,98.0,0.0
4657,10,Libya,5,110001,0.646666671215072,1,38.0,2.0,6.0,1.0,2.0,4,5,3.0,3,4.0,4.0,3.0,4.0,4.0,2,2,2.0,3.0,3.0,0,98.0,0.0
4670,10,Libya,5,110001,0.646666671215072,1,23.0,1.0,6.0,1.0,2.0,3,3,2.0,3,4.0,4.0,4.0,4.0,2.0,2,1,2.0,3.0,3.0,7,2.0,0.0
4695,10,Libya,5,110001,0.646666671215072,1,36.0,2.0,6.0,4.0,2.0,3,3,3.0,4,3.0,2.0,4.0,3.0,2.0,2,2,1.0,1.0,3.0,1,3.0,0.0
2256,10,Libya,5,110001,0.646666671215072,1,25.0,1.0,4.0,5.0,2.0,3,3,3.0,3,4.0,3.0,4.0,4.0,3.0,2,2,2.0,3.0,3.0,8,98.0,3.0
2279,11,Libya,5,110001,1.9399999579504197,1,62.0,2.0,4.0,4.0,2.0,4,5,3.0,3,1.0,1.0,3.0,3.0,3.0,2,2,1.0,1.0,98.0,98,98.0,0.0
2261,11,Libya,5,110001,0.646666671215072,1,20.0,2.0,5.0,5.0,2.0,3,3,4.0,2,3.0,4.0,4.0,3.0,3.0,2,2,1.0,1.0,3.0,10,4.0,0.0
1179,11,Libya,5,110001,0.646666671215072,1,30.0,1.0,6.0,1.0,2.0,3,1,3.0,2,1.0,1.0,1.0,3.0,1.0,2,2,2.0,1.0,1.0,4,3.0,5.0
1111,11,Libya,5,110001,0.646666671215072,1,38.0,2.0,6.0,1.0,2.0,2,5,3.0,2,2.0,4.0,2.0,4.0,3.0,2,2,2.0,1.0,2.0,4,1.0,7.0
4223,11,Libya,5,110001,0.646666671215072,1,43.0,2.0,5.0,4.0,1.0,4,3,3.0,3,4.0,3.0,2.0,2.0,1.0,2,2,2.0,4.0,2.0,5,1.0,5.0
4222,11,Libya,5,110001,0.646666671215072,1,21.0,1.0,4.0,5.0,2.0,3,3,3.0,2,2.0,3.0,2.0,2.0,3.0,2,2,2.0,3.0,2.0,10,2.0,0.0
2301,11,Libya,5,110001,0.646666671215072,1,48.0,1.0,3.0,2.0,2.0,3,5,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,1.0,3.0,4,98.0,0.0
1277,12,Libya,5,110001,0.646666671215072,1,37.0,1.0,6.0,1.0,1.0,2,98,3.0,4,4.0,4.0,3.0,4.0,2.0,2,2,1.0,1.0,98.0,5,3.0,0.0
3321,12,Libya,5,110001,0.646666671215072,1,57.0,1.0,5.0,3.0,1.0,2,98,2.0,4,4.0,4.0,4.0,2.0,1.0,2,2,1.0,1.0,3.0,0,1.0,0.0
1301,12,Libya,5,110001,0.646666671215072,1,47.0,2.0,3.0,4.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,1.0,1.0,3.0,0,3.0,0.0
4028,12,Libya,5,110001,0.646666671215072,1,35.0,2.0,6.0,1.0,2.0,4,3,2.0,4,4.0,4.0,3.0,4.0,98.0,2,2,2.0,3.0,3.0,7,3.0,6.0
4896,12,Libya,5,110001,1.2933333424301399,1,39.0,1.0,6.0,1.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2,1,1.0,2.0,3.0,5,2.0,1.0
4289,12,Libya,5,110001,0.646666671215072,1,30.0,2.0,2.0,4.0,98.0,3,1,4.0,4,4.0,4.0,2.0,4.0,2.0,2,2,2.0,3.0,3.0,4,3.0,1.0
1276,12,Libya,5,110001,0.646666671215072,1,52.0,2.0,3.0,2.0,2.0,2,1,3.0,3,3.0,3.0,4.0,4.0,2.0,2,2,1.0,1.0,3.0,10,3.0,10.0
5111,12,Libya,5,110001,1.2933333424301399,1,41.0,1.0,3.0,6.0,1.0,3,1,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,1.0,3.0,0,3.0,0.0
4096,13,Libya,5,110001,0.646666671215072,1,24.0,2.0,6.0,6.0,3.0,3,2,4.0,4,4.0,4.0,3.0,3.0,2.0,2,1,1.0,1.0,3.0,6,3.0,0.0
4095,13,Libya,5,110001,0.646666671215072,1,25.0,2.0,6.0,4.0,2.0,3,2,3.0,4,3.0,3.0,2.0,2.0,3.0,2,2,2.0,1.0,1.0,0,3.0,0.0
4125,13,Libya,5,110001,0.646666671215072,1,47.0,2.0,5.0,1.0,2.0,3,3,3.0,2,3.0,2.0,2.0,2.0,1.0,2,2,1.0,1.0,3.0,10,3.0,10.0
4269,13,Libya,5,110001,0.646666671215072,1,64.0,2.0,5.0,3.0,2.0,3,1,3.0,4,2.0,3.0,2.0,4.0,1.0,1,1,1.0,2.0,3.0,8,3.0,2.0
4340,13,Libya,5,110001,0.646666671215072,1,22.0,1.0,4.0,5.0,2.0,4,3,3.0,4,4.0,4.0,4.0,4.0,3.0,2,2,1.0,1.0,3.0,6,3.0,0.0
4778,13,Libya,5,110001,0.646666671215072,1,33.0,1.0,5.0,6.0,2.0,3,2,3.0,3,3.0,3.0,3.0,3.0,3.0,2,2,1.0,3.0,1.0,0,3.0,0.0
4779,13,Libya,5,110001,0.646666671215072,1,55.0,1.0,6.0,1.0,2.0,2,5,3.0,4,4.0,4.0,4.0,4.0,4.0,1,2,1.0,2.0,3.0,8,98.0,0.0
5040,13,Libya,5,110001,0.646666671215072,1,42.0,1.0,6.0,2.0,1.0,3,3,3.0,3,4.0,4.0,2.0,2.0,3.0,2,2,1.0,3.0,2.0,5,1.0,5.0
1351,13,Libya,5,110001,1.2933333424301399,1,34.0,2.0,6.0,1.0,98.0,3,4,3.0,3,3.0,3.0,3.0,4.0,3.0,2,2,2.0,1.0,98.0,0,99.0,0.0
4111,14,Libya,5,110001,0.646666671215072,1,21.0,1.0,7.0,5.0,1.0,2,3,2.0,2,2.0,3.0,3.0,98.0,2.0,2,2,1.0,1.0,3.0,6,1.0,5.0
5109,14,Libya,5,110001,0.646666671215072,1,30.0,1.0,6.0,2.0,1.0,2,1,1.0,1,1.0,4.0,2.0,2.0,2.0,2,2,2.0,1.0,1.0,7,3.0,8.0
5042,14,Libya,5,110001,0.646666671215072,1,18.0,2.0,4.0,5.0,2.0,2,98,2.0,4,4.0,2.0,3.0,3.0,1.0,2,2,2.0,2.0,3.0,7,2.0,5.0
2558,14,Libya,5,110001,0.646666671215072,1,51.0,2.0,5.0,7.0,1.0,3,5,2.0,2,4.0,3.0,3.0,3.0,3.0,2,2,1.0,1.0,3.0,0,98.0,0.0
5043,14,Libya,5,110001,0.646666671215072,1,23.0,2.0,5.0,6.0,1.0,2,2,3.0,3,3.0,4.0,3.0,3.0,2.0,2,2,1.0,3.0,2.0,7,3.0,4.0
2525,14,Libya,5,110001,0.646666671215072,1,34.0,1.0,5.0,1.0,1.0,3,2,4.0,3,2.0,3.0,3.0,3.0,2.0,2,2,1.0,1.0,3.0,5,4.0,5.0
2523,14,Libya,5,110001,1.2933333424301399,1,19.0,1.0,1.0,5.0,1.0,3,2,3.0,3,4.0,4.0,4.0,4.0,3.0,1,1,1.0,1.0,3.0,5,3.0,0.0
5041,14,Libya,5,110001,0.646666671215072,1,25.0,2.0,6.0,6.0,1.0,3,2,3.0,3,4.0,3.0,3.0,3.0,3.0,2,2,2.0,2.0,3.0,7,2.0,3.0
4989,15,Libya,5,110001,0.646666671215072,1,25.0,2.0,6.0,6.0,2.0,4,2,2.0,3,3.0,3.0,4.0,4.0,3.0,2,2,2.0,1.0,3.0,0,1.0,0.0
4217,15,Libya,5,110001,0.646666671215072,1,63.0,1.0,5.0,1.0,1.0,4,1,2.0,4,2.0,4.0,4.0,3.0,3.0,2,2,1.0,99.0,99.0,99,2.0,0.0
2494,15,Libya,5,110001,1.9399999579504197,1,46.0,2.0,3.0,6.0,2.0,3,5,3.0,3,3.0,3.0,3.0,3.0,4.0,2,2,1.0,1.0,98.0,0,98.0,0.0
2500,15,Libya,5,110001,1.2933333424301399,1,33.0,1.0,5.0,1.0,2.0,3,98,3.0,3,4.0,4.0,4.0,4.0,3.0,2,2,2.0,2.0,3.0,0,3.0,0.0
2621,15,Libya,5,110001,1.2933333424301399,1,45.0,2.0,5.0,1.0,2.0,3,3,3.0,3,3.0,3.0,2.0,3.0,98.0,2,2,1.0,1.0,3.0,0,3.0,0.0
2501,15,Libya,5,110001,0.646666671215072,1,40.0,1.0,4.0,1.0,2.0,4,5,3.0,3,4.0,4.0,4.0,4.0,3.0,2,2,1.0,1.0,3.0,0,3.0,0.0
2493,15,Libya,5,110001,0.646666671215072,1,20.0,2.0,4.0,5.0,2.0,3,2,3.0,3,2.0,3.0,3.0,2.0,2.0,2,2,1.0,2.0,1.0,98,3.0,99.0
1607,15,Libya,5,110001,0.646666671215072,1,31.0,1.0,5.0,1.0,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,1.0,1.0,10,1.0,10.0
2649,16,Libya,5,110001,0.646666671215072,1,43.0,2.0,4.0,4.0,2.0,3,5,3.0,3,4.0,3.0,3.0,3.0,3.0,2,2,2.0,3.0,98.0,0,98.0,0.0
1627,16,Libya,5,110001,0.646666671215072,1,30.0,2.0,1.0,6.0,1.0,3,1,2.0,4,3.0,3.0,2.0,4.0,3.0,2,2,2.0,1.0,98.0,0,1.0,0.0
4284,16,Libya,5,110001,0.646666671215072,1,29.0,1.0,4.0,1.0,1.0,2,2,4.0,3,3.0,98.0,3.0,3.0,2.0,2,2,2.0,2.0,2.0,0,4.0,0.0
2651,16,Libya,5,110001,1.2933333424301399,1,46.0,1.0,4.0,1.0,2.0,4,3,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,3.0,3.0,1,98.0,5.0
2689,16,Libya,5,110001,0.646666671215072,1,25.0,1.0,5.0,5.0,2.0,3,1,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,1.0,3.0,5,3.0,5.0
2686,16,Libya,5,110001,1.2933333424301399,1,20.0,2.0,4.0,5.0,2.0,3,3,3.0,3,3.0,2.0,2.0,3.0,2.0,2,2,1.0,1.0,3.0,8,3.0,0.0
4122,16,Libya,5,110001,1.9399999579504197,1,34.0,1.0,5.0,1.0,2.0,3,1,4.0,2,2.0,2.0,3.0,2.0,1.0,1,2,1.0,1.0,2.0,7,1.0,10.0
4698,17,Libya,5,110001,0.646666671215072,1,24.0,2.0,6.0,5.0,1.0,3,3,3.0,3,3.0,2.0,2.0,3.0,3.0,2,2,2.0,2.0,1.0,4,1.0,2.0
4283,17,Libya,5,110001,0.646666671215072,1,49.0,1.0,7.0,1.0,1.0,3,1,3.0,3,3.0,3.0,2.0,2.0,4.0,2,2,1.0,2.0,2.0,6,4.0,4.0
2643,17,Libya,5,110001,1.2933333424301399,1,31.0,1.0,4.0,1.0,2.0,2,2,2.0,3,2.0,2.0,3.0,4.0,2.0,1,1,1.0,1.0,1.0,0,3.0,0.0
2644,17,Libya,5,110001,1.2933333424301399,1,20.0,2.0,1.0,5.0,1.0,2,1,2.0,2,2.0,3.0,4.0,4.0,3.0,2,2,1.0,1.0,1.0,8,3.0,5.0
2739,17,Libya,5,110001,0.646666671215072,1,47.0,1.0,6.0,1.0,1.0,3,98,2.0,4,98.0,4.0,3.0,2.0,3.0,1,1,1.0,3.0,3.0,5,3.0,3.0
2744,17,Libya,5,110001,0.646666671215072,1,40.0,2.0,5.0,4.0,2.0,3,1,4.0,4,3.0,3.0,2.0,3.0,1.0,2,2,1.0,1.0,3.0,5,1.0,5.0
2642,17,Libya,5,110001,0.646666671215072,1,47.0,1.0,5.0,2.0,2.0,3,4,3.0,3,3.0,3.0,3.0,3.0,2.0,2,2,2.0,3.0,3.0,10,1.0,0.0
2740,17,Libya,5,110001,0.646666671215072,1,74.0,2.0,98.0,4.0,1.0,2,1,4.0,4,3.0,2.0,2.0,2.0,3.0,2,2,1.0,1.0,3.0,0,3.0,0.0
2660,18,Libya,5,110001,0.646666671215072,1,22.0,2.0,5.0,5.0,2.0,3,1,2.0,2,2.0,2.0,2.0,2.0,2.0,2,2,2.0,1.0,2.0,3,1.0,1.0
4288,18,Libya,5,110001,1.2933333424301399,1,50.0,2.0,2.0,4.0,2.0,4,98,2.0,3,2.0,3.0,3.0,4.0,1.0,2,2,2.0,1.0,3.0,3,3.0,0.0
4279,18,Libya,5,110001,0.646666671215072,1,30.0,1.0,6.0,1.0,2.0,4,1,3.0,4,3.0,4.0,3.0,3.0,99.0,2,2,1.0,1.0,3.0,96,2.0,0.0
4293,18,Libya,5,110001,0.646666671215072,1,28.0,2.0,6.0,2.0,2.0,3,3,4.0,4,4.0,4.0,4.0,4.0,3.0,2,2,1.0,2.0,1.0,0,1.0,4.0
4278,18,Libya,5,110001,0.646666671215072,1,46.0,1.0,7.0,1.0,1.0,2,2,3.0,2,3.0,2.0,2.0,2.0,3.0,2,1,1.0,2.0,3.0,7,2.0,1.0
4660,18,Libya,5,110001,0.646666671215072,1,55.0,2.0,6.0,1.0,2.0,4,2,4.0,4,4.0,4.0,4.0,4.0,3.0,2,2,2.0,3.0,3.0,2,3.0,0.0
2659,18,Libya,5,110001,0.646666671215072,1,18.0,1.0,4.0,5.0,2.0,3,2,4.0,4,4.0,4.0,4.0,4.0,3.0,2,2,2.0,3.0,1.0,4,3.0,0.0
